"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Reprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas","2021","2021 - 2 - P11 - Turno Julio 2021","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2019","2019 - 2 - 2019","Aprobado","55.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2019","2019 - 2 - Turno Único 2019","Aprobado","47.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","2.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","2.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - Turno Único 2020","Aprobado","30.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - Turno Septiembre 2020","Aprobado","1.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - Turno Octubre 2020","Aprobado","14.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020","2020 - 2 - Turno Noviembre 2020","Aprobado","6.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Abril 2021","Aprobado","14.0"
"Posgrado","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2021","2021 - 2 - P11 - Turno Marzo 2021","Aprobado","10.0"
